,timestamp,pilot,aggressor,shiptype,module_or_ammo,dmg,hit_quality
588,2023-02-23 16:38:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
589,2023-02-23 16:38:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
592,2023-02-23 16:38:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
593,2023-02-23 16:38:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
594,2023-02-23 16:38:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
595,2023-02-23 16:38:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
596,2023-02-23 16:38:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
599,2023-02-23 16:38:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Glances Off
600,2023-02-23 16:38:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
601,2023-02-23 16:38:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
602,2023-02-23 16:38:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
603,2023-02-23 16:38:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
605,2023-02-23 16:38:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
606,2023-02-23 16:38:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
607,2023-02-23 16:38:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
608,2023-02-23 16:38:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
611,2023-02-23 16:38:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Grazes
612,2023-02-23 16:38:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,77,Wrecks
613,2023-02-23 16:38:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
614,2023-02-23 16:38:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
615,2023-02-23 16:38:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
618,2023-02-23 16:38:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
619,2023-02-23 16:38:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
620,2023-02-23 16:38:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
621,2023-02-23 16:38:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
622,2023-02-23 16:38:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
623,2023-02-23 16:38:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,38,Smashes
624,2023-02-23 16:38:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
625,2023-02-23 16:38:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
626,2023-02-23 16:38:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
627,2023-02-23 16:38:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
630,2023-02-23 16:38:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
631,2023-02-23 16:38:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
632,2023-02-23 16:38:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
634,2023-02-23 16:38:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
637,2023-02-23 16:38:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
638,2023-02-23 16:38:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
639,2023-02-23 16:38:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
640,2023-02-23 16:38:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
641,2023-02-23 16:38:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
642,2023-02-23 16:39:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Hits
643,2023-02-23 16:39:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
644,2023-02-23 16:39:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
645,2023-02-23 16:39:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
649,2023-02-23 16:39:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
650,2023-02-23 16:39:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
651,2023-02-23 16:39:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
652,2023-02-23 16:39:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Hits
653,2023-02-23 16:39:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
656,2023-02-23 16:39:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
657,2023-02-23 16:39:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
658,2023-02-23 16:39:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
659,2023-02-23 16:39:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
660,2023-02-23 16:39:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
661,2023-02-23 16:39:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
662,2023-02-23 16:39:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
663,2023-02-23 16:39:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
664,2023-02-23 16:39:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
665,2023-02-23 16:39:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
668,2023-02-23 16:39:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
669,2023-02-23 16:39:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
670,2023-02-23 16:39:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
672,2023-02-23 16:39:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
675,2023-02-23 16:39:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
676,2023-02-23 16:39:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
677,2023-02-23 16:39:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
678,2023-02-23 16:39:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
679,2023-02-23 16:39:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
680,2023-02-23 16:39:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
681,2023-02-23 16:39:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
682,2023-02-23 16:39:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
683,2023-02-23 16:39:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
688,2023-02-23 16:39:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
689,2023-02-23 16:39:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
690,2023-02-23 16:39:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
691,2023-02-23 16:39:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
694,2023-02-23 16:39:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
695,2023-02-23 16:39:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
696,2023-02-23 16:39:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
697,2023-02-23 16:39:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
698,2023-02-23 16:39:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
699,2023-02-23 16:39:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
700,2023-02-23 16:39:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
701,2023-02-23 16:39:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
702,2023-02-23 16:39:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
703,2023-02-23 16:39:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,77,Wrecks
706,2023-02-23 16:39:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
707,2023-02-23 16:39:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
708,2023-02-23 16:39:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
709,2023-02-23 16:39:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
710,2023-02-23 16:39:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
713,2023-02-23 16:39:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
714,2023-02-23 16:39:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
715,2023-02-23 16:39:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
716,2023-02-23 16:39:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
717,2023-02-23 16:39:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
718,2023-02-23 16:39:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
719,2023-02-23 16:39:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
720,2023-02-23 16:39:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
721,2023-02-23 16:39:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
722,2023-02-23 16:39:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
725,2023-02-23 16:39:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
726,2023-02-23 16:39:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
727,2023-02-23 16:39:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
728,2023-02-23 16:39:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
729,2023-02-23 16:39:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
732,2023-02-23 16:39:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
733,2023-02-23 16:39:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
734,2023-02-23 16:39:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
735,2023-02-23 16:39:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
736,2023-02-23 16:39:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
737,2023-02-23 16:40:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
738,2023-02-23 16:40:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
739,2023-02-23 16:40:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
740,2023-02-23 16:40:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
741,2023-02-23 16:40:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
744,2023-02-23 16:40:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
745,2023-02-23 16:40:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
746,2023-02-23 16:40:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
747,2023-02-23 16:40:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
748,2023-02-23 16:40:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
751,2023-02-23 16:40:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
752,2023-02-23 16:40:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
753,2023-02-23 16:40:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
754,2023-02-23 16:40:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
755,2023-02-23 16:40:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
756,2023-02-23 16:40:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Hits
757,2023-02-23 16:40:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
758,2023-02-23 16:40:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
759,2023-02-23 16:40:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
760,2023-02-23 16:40:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
763,2023-02-23 16:40:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
764,2023-02-23 16:40:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
765,2023-02-23 16:40:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
766,2023-02-23 16:40:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
767,2023-02-23 16:40:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
770,2023-02-23 16:40:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
771,2023-02-23 16:40:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
772,2023-02-23 16:40:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
773,2023-02-23 16:40:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
774,2023-02-23 16:40:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
775,2023-02-23 16:40:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
776,2023-02-23 16:40:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
777,2023-02-23 16:40:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
778,2023-02-23 16:40:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
779,2023-02-23 16:40:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Hits
782,2023-02-23 16:40:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
783,2023-02-23 16:40:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
784,2023-02-23 16:40:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
785,2023-02-23 16:40:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
786,2023-02-23 16:40:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
789,2023-02-23 16:40:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Penetrates
790,2023-02-23 16:40:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
791,2023-02-23 16:40:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
792,2023-02-23 16:40:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
793,2023-02-23 16:40:34,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
794,2023-02-23 16:40:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
795,2023-02-23 16:40:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
796,2023-02-23 16:40:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
797,2023-02-23 16:40:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
798,2023-02-23 16:40:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
801,2023-02-23 16:40:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
802,2023-02-23 16:40:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
803,2023-02-23 16:40:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
804,2023-02-23 16:40:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
805,2023-02-23 16:40:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
808,2023-02-23 16:40:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
809,2023-02-23 16:40:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
810,2023-02-23 16:40:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
811,2023-02-23 16:40:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
812,2023-02-23 16:40:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
813,2023-02-23 16:40:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
814,2023-02-23 16:40:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
815,2023-02-23 16:40:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
816,2023-02-23 16:40:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
817,2023-02-23 16:40:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
820,2023-02-23 16:40:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
821,2023-02-23 16:40:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
822,2023-02-23 16:40:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
823,2023-02-23 16:40:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
824,2023-02-23 16:40:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
827,2023-02-23 16:40:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
828,2023-02-23 16:40:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
829,2023-02-23 16:40:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
830,2023-02-23 16:40:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
831,2023-02-23 16:40:57,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
832,2023-02-23 16:41:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
833,2023-02-23 16:41:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
834,2023-02-23 16:41:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
835,2023-02-23 16:41:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
836,2023-02-23 16:41:01,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
839,2023-02-23 16:41:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
840,2023-02-23 16:41:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
841,2023-02-23 16:41:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
842,2023-02-23 16:41:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
843,2023-02-23 16:41:05,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
846,2023-02-23 16:41:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Grazes
847,2023-02-23 16:41:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
848,2023-02-23 16:41:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,31,Penetrates
849,2023-02-23 16:41:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
850,2023-02-23 16:41:09,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
851,2023-02-23 16:41:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
852,2023-02-23 16:41:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
853,2023-02-23 16:41:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
854,2023-02-23 16:41:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
855,2023-02-23 16:41:13,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Hits
858,2023-02-23 16:41:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,39,Smashes
859,2023-02-23 16:41:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
860,2023-02-23 16:41:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
861,2023-02-23 16:41:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
862,2023-02-23 16:41:17,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
865,2023-02-23 16:41:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Grazes
866,2023-02-23 16:41:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
867,2023-02-23 16:41:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
868,2023-02-23 16:41:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
869,2023-02-23 16:41:21,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
870,2023-02-23 16:41:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
871,2023-02-23 16:41:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,33,Smashes
873,2023-02-23 16:41:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
874,2023-02-23 16:41:25,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
877,2023-02-23 16:41:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
878,2023-02-23 16:41:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
879,2023-02-23 16:41:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,29,Penetrates
880,2023-02-23 16:41:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,24,Hits
881,2023-02-23 16:41:29,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
884,2023-02-23 16:41:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
885,2023-02-23 16:41:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
886,2023-02-23 16:41:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,37,Smashes
887,2023-02-23 16:41:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
888,2023-02-23 16:41:33,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
889,2023-02-23 16:41:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Penetrates
890,2023-02-23 16:41:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
891,2023-02-23 16:41:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
892,2023-02-23 16:41:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
893,2023-02-23 16:41:37,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
896,2023-02-23 16:41:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
897,2023-02-23 16:41:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
898,2023-02-23 16:41:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
899,2023-02-23 16:41:41,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
903,2023-02-23 16:41:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
904,2023-02-23 16:41:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
905,2023-02-23 16:41:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
906,2023-02-23 16:41:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
907,2023-02-23 16:41:45,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Grazes
908,2023-02-23 16:41:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
909,2023-02-23 16:41:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,16,Glances Off
910,2023-02-23 16:41:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
912,2023-02-23 16:41:49,Dravynea Uta,Hollindustries,Nestor,Ogre II,36,Smashes
915,2023-02-23 16:41:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
916,2023-02-23 16:41:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
917,2023-02-23 16:41:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
918,2023-02-23 16:41:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
919,2023-02-23 16:41:53,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
922,2023-02-23 16:41:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
923,2023-02-23 16:41:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
924,2023-02-23 16:41:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
925,2023-02-23 16:41:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
926,2023-02-23 16:41:58,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Glances Off
927,2023-02-23 16:42:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
928,2023-02-23 16:42:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
929,2023-02-23 16:42:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,21,Hits
930,2023-02-23 16:42:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,23,Hits
931,2023-02-23 16:42:02,Dravynea Uta,Hollindustries,Nestor,Ogre II,22,Hits
934,2023-02-23 16:42:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,28,Penetrates
935,2023-02-23 16:42:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
936,2023-02-23 16:42:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,26,Penetrates
938,2023-02-23 16:42:06,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
941,2023-02-23 16:42:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
942,2023-02-23 16:42:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
943,2023-02-23 16:42:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,19,Glances Off
944,2023-02-23 16:42:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
945,2023-02-23 16:42:10,Dravynea Uta,Hollindustries,Nestor,Ogre II,13,Grazes
946,2023-02-23 16:42:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,17,Grazes
947,2023-02-23 16:42:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,15,Grazes
948,2023-02-23 16:42:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,20,Hits
949,2023-02-23 16:42:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,34,Smashes
950,2023-02-23 16:42:14,Dravynea Uta,Hollindustries,Nestor,Ogre II,30,Penetrates
953,2023-02-23 16:42:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,27,Penetrates
954,2023-02-23 16:42:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
955,2023-02-23 16:42:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,32,Smashes
956,2023-02-23 16:42:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,25,Hits
957,2023-02-23 16:42:18,Dravynea Uta,Hollindustries,Nestor,Ogre II,18,Glances Off
960,2023-02-23 16:42:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,14,Grazes
961,2023-02-23 16:42:22,Dravynea Uta,Hollindustries,Nestor,Ogre II,35,Smashes
